Assessment ID,Assessment Domain,Assessment Sub-Topic,Date of Test,Start Time of Test,End Time of Test,Total Score
0,Game Development,Assessment on Game Development,2024-02-29,13,16,100
1,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2022-04-11,13,16,25
2,Industrial Automation,Assessment on Industrial Automation,2024-01-30,13,16,120
3,5G Technology,Assessment on 5G Technology,2024-04-04,13,18,120
4,IT Infrastructure Management,Assessment on IT Infrastructure Management,2024-01-05,11,14,50
5,Computational Biology,Assessment on Computational Biology,2024-03-07,9,11,100
6,IT Infrastructure Management,Assessment on IT Infrastructure Management,2023-12-02,14,16,25
7,Virtualization,Assessment on Virtualization,2023-04-15,12,16,25
8,Enterprise Resource Planning (ERP),Assessment on Enterprise Resource Planning (ERP),2021-04-22,13,14,50
9,Ethical Hacking,Assessment on Ethical Hacking,2021-11-23,9,17,50
10,Renewable Energy Systems,Assessment on Renewable Energy Systems,2024-02-05,9,10,25
11,Bioinformatics,Assessment on Bioinformatics,2023-04-02,15,18,25
12,Computer Vision,Assessment on Computer Vision,2023-05-11,11,15,120
13,DevOps,Assessment on DevOps,2023-09-07,14,17,50
14,Penetration Testing,Assessment on Penetration Testing,2024-04-04,13,18,100
15,Business Intelligence,Assessment on Business Intelligence,2024-02-04,13,14,100
16,Soft Skill Training,Assessment on Soft Skill Training,2024-04-12,12,14,50
17,Predictive Maintenance,Assessment on Predictive Maintenance,2024-03-12,11,18,100
18,Quality Assurance and Testing,Assessment on Quality Assurance and Testing,2024-04-02,14,18,25
19,Data Science,Assessment on Data Science,2024-04-11,11,14,100
20,Virtual Reality (VR),Assessment on Virtual Reality (VR),2023-06-24,11,18,120
21,Natural Language Processing (NLP),Assessment on Natural Language Processing (NLP),2023-12-17,10,16,100
22,Artificial Intelligence,Assessment on Artificial Intelligence,2023-09-06,11,12,100
23,Cloud Security,Assessment on Cloud Security,2022-02-05,10,16,100
24,Ethical Hacking,Assessment on Ethical Hacking,2022-09-17,13,14,50
25,Game Development,Assessment on Game Development,2024-04-06,11,14,25
26,Cloud Computing,Assessment on Cloud Computing,2023-12-02,10,17,25
27,Business Intelligence,Assessment on Business Intelligence,2024-02-11,15,17,100
28,Software Development,Assessment on Software Development,2023-11-25,12,17,25
29,System Administration,Assessment on System Administration,2023-07-10,10,13,50
30,DevOps,Assessment on DevOps,2023-10-29,13,18,50
31,Wireless Communication,Assessment on Wireless Communication,2023-06-12,11,14,120
32,UX/UI Design,Assessment on UX/UI Design,2023-08-19,15,16,25
33,Blockchain Technology,Assessment on Blockchain Technology,2023-12-30,15,17,100
34,Augmented Reality (AR),Assessment on Augmented Reality (AR),2024-01-28,15,16,100
35,Mobile App Development,Assessment on Mobile App Development,2022-08-09,13,14,25
36,Cognitive Computing,Assessment on Cognitive Computing,2024-01-05,13,17,100
37,Internet of Things (IoT),Assessment on Internet of Things (IoT),2023-03-17,12,16,25
38,Artificial Intelligence,Assessment on Artificial Intelligence,2023-07-19,14,17,25
39,Nanotechnology,Assessment on Nanotechnology,2021-10-29,11,14,100
40,Artificial Intelligence,Assessment on Artificial Intelligence,2022-01-07,12,14,100
41,Software Development,Assessment on Software Development,2023-08-22,12,15,50
42,UX/UI Design,Assessment on UX/UI Design,2022-09-26,13,15,50
43,DevOps,Assessment on DevOps,2021-08-07,15,18,25
44,Data Science,Assessment on Data Science,2023-05-02,13,16,25
45,DevOps,Assessment on DevOps,2022-08-22,9,17,100
46,Cybersecurity,Assessment on Cybersecurity,2024-01-31,11,16,50
47,Natural Language Processing,Assessment on Natural Language Processing,2024-02-21,14,15,100
48,Data Engineering,Assessment on Data Engineering,2023-09-27,14,15,25
49,Natural Language Processing (NLP),Assessment on Natural Language Processing (NLP),2022-02-08,14,15,120
50,Database Management,Assessment on Database Management,2024-01-01,12,16,100
51,Natural Language Processing (NLP),Assessment on Natural Language Processing (NLP),2022-05-16,13,16,50
52,Cognitive Computing,Assessment on Cognitive Computing,2024-02-14,11,18,100
53,Mobile App Development,Assessment on Mobile App Development,2022-09-12,13,14,50
54,Data Engineering,Assessment on Data Engineering,2022-12-12,13,18,25
55,IT Infrastructure Management,Assessment on IT Infrastructure Management,2023-05-18,14,17,120
56,Semiconductor Manufacturing,Assessment on Semiconductor Manufacturing,2023-02-18,9,16,50
57,Digital Marketing Analytics,Assessment on Digital Marketing Analytics,2023-10-09,12,17,120
58,Web Development,Assessment on Web Development,2023-09-21,11,12,120
59,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2023-01-20,13,14,120
60,Internet of Things (IoT),Assessment on Internet of Things (IoT),2023-09-23,12,15,25
61,Natural Language Processing,Assessment on Natural Language Processing,2023-02-11,9,11,25
62,Cloud Security,Assessment on Cloud Security,2023-08-28,15,16,120
63,Business Intelligence,Assessment on Business Intelligence,2023-01-22,14,18,25
64,Augmented Reality (AR),Assessment on Augmented Reality (AR),2023-01-18,15,16,100
65,Enterprise Resource Planning (ERP),Assessment on Enterprise Resource Planning (ERP),2021-07-02,11,15,120
66,Cognitive Computing,Assessment on Cognitive Computing,2023-03-24,11,12,25
67,Predictive Maintenance,Assessment on Predictive Maintenance,2021-05-16,13,17,120
68,Cloud Computing,Assessment on Cloud Computing,2024-01-23,11,13,25
69,Virtualization,Assessment on Virtualization,2022-09-15,15,17,50
70,Mobile App Development,Assessment on Mobile App Development,2023-10-27,11,17,100
71,UX/UI Design,Assessment on UX/UI Design,2022-10-19,14,17,100
72,Deep Learning,Assessment on Deep Learning,2023-09-09,10,14,120
73,Game Development,Assessment on Game Development,2024-03-26,10,12,50
74,Supply Chain Management Systems,Assessment on Supply Chain Management Systems,2023-07-10,12,18,25
75,Big Data Analytics,Assessment on Big Data Analytics,2024-04-07,13,16,50
76,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2024-03-18,10,15,120
77,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2022-12-27,12,17,120
78,Wireless Communication,Assessment on Wireless Communication,2021-07-31,14,16,25
79,Human-Computer Interaction,Assessment on Human-Computer Interaction,2023-10-21,13,15,25
80,DevOps,Assessment on DevOps,2023-03-03,15,16,50
81,Deep Learning,Assessment on Deep Learning,2023-11-09,10,15,25
82,Digital Marketing Analytics,Assessment on Digital Marketing Analytics,2023-03-05,13,17,100
83,Natural Language Processing,Assessment on Natural Language Processing,2024-02-22,13,16,100
84,Virtualization,Assessment on Virtualization,2022-08-01,13,17,25
85,Quality Assurance and Testing,Assessment on Quality Assurance and Testing,2023-10-20,9,10,25
86,Virtual Reality (VR),Assessment on Virtual Reality (VR),2024-02-16,15,16,120
87,Software Development,Assessment on Software Development,2023-10-07,11,15,100
88,Augmented Reality (AR),Assessment on Augmented Reality (AR),2022-02-18,13,18,25
89,Machine Learning,Assessment on Machine Learning,2021-04-13,13,16,50
90,Cybersecurity,Assessment on Cybersecurity,2022-10-26,12,16,50
91,Big Data Analytics,Assessment on Big Data Analytics,2022-12-12,12,14,25
92,Quantum Computing,Assessment on Quantum Computing,2023-10-24,11,15,25
93,Big Data Analytics,Assessment on Big Data Analytics,2023-04-02,9,17,120
94,Machine Learning,Assessment on Machine Learning,2023-05-02,14,16,100
95,Ethical Hacking,Assessment on Ethical Hacking,2021-04-01,15,17,50
96,Mobile App Development,Assessment on Mobile App Development,2022-03-26,14,17,100
97,Penetration Testing,Assessment on Penetration Testing,2023-05-14,9,11,120
98,Database Management,Assessment on Database Management,2023-06-20,15,18,120
99,Mobile App Development,Assessment on Mobile App Development,2021-11-15,13,14,120
100,Supply Chain Management Systems,Assessment on Supply Chain Management Systems,2023-08-23,13,16,25
101,Network Administration,Assessment on Network Administration,2022-10-27,13,15,120
102,Ethical Hacking,Assessment on Ethical Hacking,2023-07-10,13,14,50
103,Virtual Reality (VR),Assessment on Virtual Reality (VR),2024-02-25,9,12,25
104,Cybersecurity,Assessment on Cybersecurity,2022-07-04,9,16,25
105,Robotics,Assessment on Robotics,2024-04-12,9,17,25
106,Wireless Communication,Assessment on Wireless Communication,2022-08-19,11,14,25
107,Predictive Maintenance,Assessment on Predictive Maintenance,2024-02-23,10,11,50
108,Internet of Things (IoT),Assessment on Internet of Things (IoT),2022-10-26,10,14,120
109,IT Infrastructure Management,Assessment on IT Infrastructure Management,2022-07-04,9,10,120
110,Deep Learning,Assessment on Deep Learning,2023-10-01,12,18,100
111,Quantum Computing,Assessment on Quantum Computing,2024-02-08,11,12,100
112,Mobile App Development,Assessment on Mobile App Development,2021-11-16,13,15,120
113,Penetration Testing,Assessment on Penetration Testing,2024-04-10,10,11,100
114,Digital Marketing Analytics,Assessment on Digital Marketing Analytics,2023-11-08,12,13,120
115,Nanotechnology,Assessment on Nanotechnology,2023-07-23,11,18,100
116,Digital Marketing Analytics,Assessment on Digital Marketing Analytics,2023-09-20,15,16,50
117,Human-Computer Interaction,Assessment on Human-Computer Interaction,2023-03-01,12,15,25
118,Big Data Analytics,Assessment on Big Data Analytics,2023-07-06,11,16,25
119,Network Administration,Assessment on Network Administration,2023-02-15,12,16,120
120,Machine Learning,Assessment on Machine Learning,2023-11-19,10,13,50
121,Penetration Testing,Assessment on Penetration Testing,2023-02-25,13,17,25
122,Computer Vision,Assessment on Computer Vision,2024-03-08,12,16,50
123,Software Development,Assessment on Software Development,2024-03-01,9,11,120
124,DevOps,Assessment on DevOps,2024-04-12,12,13,50
125,Database Management,Assessment on Database Management,2023-07-01,14,16,120
126,Information Security,Assessment on Information Security,2023-07-09,12,18,120
127,Virtual Reality (VR),Assessment on Virtual Reality (VR),2024-03-23,14,18,120
128,Information Security,Assessment on Information Security,2022-11-11,13,15,50
129,Robotics,Assessment on Robotics,2023-01-15,14,16,120
130,Natural Language Processing,Assessment on Natural Language Processing,2023-04-28,12,15,120
131,Cloud Security,Assessment on Cloud Security,2022-06-08,9,13,50
132,Artificial Intelligence,Assessment on Artificial Intelligence,2023-07-23,14,16,50
133,Virtual Reality (VR),Assessment on Virtual Reality (VR),2023-08-24,10,13,120
134,Virtual Reality (VR),Assessment on Virtual Reality (VR),2024-03-16,11,14,25
135,Network Administration,Assessment on Network Administration,2023-09-22,11,13,25
136,Technical Writing and Documentation,Assessment on Technical Writing and Documentation,2021-11-23,13,16,50
137,Cloud Security,Assessment on Cloud Security,2024-03-24,10,18,25
138,Renewable Energy Systems,Assessment on Renewable Energy Systems,2023-11-16,11,16,25
139,Natural Language Processing,Assessment on Natural Language Processing,2023-12-29,11,17,100
140,Information Security,Assessment on Information Security,2021-11-05,15,17,50
141,Virtualization,Assessment on Virtualization,2023-02-27,15,16,25
142,Computer Forensics,Assessment on Computer Forensics,2022-11-05,14,18,50
143,Natural Language Processing (NLP),Assessment on Natural Language Processing (NLP),2021-09-20,12,17,120
144,Network Administration,Assessment on Network Administration,2023-12-19,14,18,25
145,Database Management,Assessment on Database Management,2022-08-27,10,14,120
146,Enterprise Resource Planning (ERP),Assessment on Enterprise Resource Planning (ERP),2023-08-25,10,14,120
147,Mobile App Development,Assessment on Mobile App Development,2022-12-10,12,17,25
148,Supply Chain Management Systems,Assessment on Supply Chain Management Systems,2023-04-03,13,14,25
149,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2023-04-17,15,18,50
150,System Administration,Assessment on System Administration,2024-01-06,13,17,50
151,Embedded Systems,Assessment on Embedded Systems,2024-03-02,12,17,120
152,Embedded Systems,Assessment on Embedded Systems,2022-01-19,14,16,120
153,Predictive Maintenance,Assessment on Predictive Maintenance,2021-12-31,14,16,25
154,Virtual Reality (VR),Assessment on Virtual Reality (VR),2024-04-02,14,17,120
155,Data Science,Assessment on Data Science,2023-03-09,14,16,100
156,System Administration,Assessment on System Administration,2022-04-19,12,16,50
157,Big Data Analytics,Assessment on Big Data Analytics,2023-10-29,14,15,100
158,Enterprise Resource Planning (ERP),Assessment on Enterprise Resource Planning (ERP),2022-07-07,11,18,50
159,UX/UI Design,Assessment on UX/UI Design,2021-10-27,12,14,120
160,Robotics,Assessment on Robotics,2024-04-08,12,17,25
161,Soft Skill Training,Assessment on Soft Skill Training,2024-03-28,9,12,100
162,Quantum Computing,Assessment on Quantum Computing,2023-12-18,13,15,120
163,Game Development,Assessment on Game Development,2023-04-07,10,13,120
164,Predictive Maintenance,Assessment on Predictive Maintenance,2024-03-12,12,16,50
165,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2021-12-26,10,14,25
166,Robotics,Assessment on Robotics,2024-01-13,15,18,50
167,Wireless Communication,Assessment on Wireless Communication,2024-01-08,14,18,50
168,Software Development,Assessment on Software Development,2022-11-02,14,16,25
169,Semiconductor Manufacturing,Assessment on Semiconductor Manufacturing,2023-11-05,14,15,25
170,Geographical Information Systems (GIS),Assessment on Geographical Information Systems (GIS),2024-04-02,15,17,120
171,Machine Learning,Assessment on Machine Learning,2022-03-04,11,17,100
172,Nanotechnology,Assessment on Nanotechnology,2024-02-01,15,16,100
173,Cognitive Computing,Assessment on Cognitive Computing,2024-03-17,12,15,120
