Training Topic,Training Date,Training Start Time,Training End Time
Business Intelligence,2023-09-12,16,17
Enterprise Resource Planning (ERP),2021-02-17,9,10
Augmented Reality (AR),2022-10-13,14,17
Computational Biology,2024-03-24,15,16
Bioinformatics,2021-09-01,10,14
System Administration,2023-07-21,10,12
Cognitive Computing,2022-07-18,15,16
Blockchain Technology,2022-09-07,13,17
Computational Biology,2021-12-23,14,18
Quality Assurance and Testing,2023-04-12,15,16
Big Data Analytics,2023-06-08,12,15
Virtual Reality (VR),2022-09-09,14,15
Business Intelligence,2022-08-02,10,14
IT Infrastructure Management,2023-01-16,11,17
Predictive Maintenance,2024-02-11,14,15
Cloud Security,2023-02-03,11,12
Deep Learning,2023-05-30,12,14
Deep Learning,2023-02-27,15,16
Natural Language Processing,2022-06-11,16,18
Natural Language Processing,2022-06-25,9,14
Quality Assurance and Testing,2023-07-21,12,13
Software Development,2021-03-19,11,12
Quality Assurance and Testing,2022-04-23,15,18
Artificial Intelligence,2024-03-04,10,11
Software Development,2021-05-13,13,14
Quality Assurance and Testing,2021-06-16,14,15
Ethical Hacking,2024-01-09,13,18
Virtualization,2022-09-05,11,17
Data Engineering,2024-01-10,9,14
DevOps,2022-01-26,11,15
Digital Marketing Analytics,2021-08-30,14,18
Digital Marketing Analytics,2023-01-18,15,18
Cloud Security,2022-02-10,14,15
Renewable Energy Systems,2022-02-23,16,18
System Administration,2023-05-08,9,11
Bioinformatics,2023-01-05,16,17
Data Engineering,2022-08-27,14,16
Virtualization,2023-11-23,13,15
Industrial Automation,2022-10-17,9,10
Semiconductor Manufacturing,2023-03-20,15,16
Web Development,2021-12-19,15,18
Network Administration,2022-04-26,14,18
Embedded Systems,2024-03-05,15,17
Industrial Automation,2022-03-22,9,14
Quantum Computing,2021-11-23,11,12
Embedded Systems,2022-07-21,9,10
Cloud Security,2021-05-17,10,15
Blockchain Technology,2021-12-04,10,16
Web Development,2022-10-02,15,16
Cloud Security,2022-11-06,13,15
Cognitive Computing,2022-11-14,15,17
Data Engineering,2021-07-05,13,14
Network Administration,2021-10-14,15,18
System Administration,2023-09-08,14,17
Industrial Automation,2021-03-03,16,18
Soft Skill Training,2022-06-02,16,18
Natural Language Processing (NLP),2024-04-12,14,18
Database Management,2022-05-22,9,10
Bioinformatics,2024-01-02,16,17
Computational Biology,2022-11-20,13,15
Internet of Things (IoT),2021-08-15,10,12
